timestamp	unit	round	verdict	cost_usd	description	git_commit
2026-04-22T02:23:31Z	harness-upgrade	r1	DONE	0.00	C方案(P0+P1+P2)全量升级：permissionMode/gstack融入/SessionStart/Harness表/progress+HANDOFF	-
2026-04-22T04:00:18Z	ultrareview-scan	r1	DONE	0.00	8 findings 分级：3 P0 / 3 P1 / 2 P2；已写 spec.md 分 3 PR 修	-
2026-04-22T04:20:00Z	pr-fix-1	r1	PASS	0.00	B1 assertCourseAccess+classId 删;B2 student dashboard taskInstance 去 OR;B3 removeCourseClass guard+UI;9/9 tests 绿;tsc 0 errs	-
2026-04-22T04:40:00Z	pr-fix-2	r1	PASS	0.00	B4 teacher dashboard OR;B5 schedule+announcement courseClassFilter helper;B6 backfill migration+UI fallback;15/15 tests;tsc 0;live 401+200 probes clean	-
2026-04-22T05:00:00Z	pr-fix-3	r1	PASS	0.00	B7 Promise.all 并行/api/submissions;B8 buildStudentRanking 过滤 gradedCount=0+新增已批改列;20/20 tests;tsc 0;纯前端无 DB/auth 改动	-
2026-04-22T07:04:53Z	live-browser-qa	r1	PASS	0.00	5/5 场景浏览器实测 PASS: B4 测验4/B5 API JSON 确认/B6 fallback+多班 badge/B7 7 req ~200ms 并行/B8 已批改列+过滤	-
2026-04-22T16:45:00Z	pr-calendar-1	r1	FAIL	0.00	本周 Tab 空：schedule.service.getScheduleSlots include 缺 semesterStartDate（Prisma gotcha P0）；tsc+41 tests 过；batch API/403/Dialog/Grid/Calendar 占位均 OK	-
2026-04-22T16:55:00Z	pr-calendar-1	r2	PASS	0.00	schedule.service include 补 semesterStartDate;文案"请先设置"统一;42 tests(+1 回归守护);真浏览器 teacher 4 slots/student 2 slots 可见;403 仍 OK	-
2026-04-22T17:00:00Z	pr-calendar-2	r1	PASS	0.00	日历 Tab 月视图;7×6 grid+色稳定+Popover 详情+prev/next/今天;61 tests(+19:4 colors+15 calendar);desktop grid/mobile list 响应式;无 regression	-
2026-04-23T00:00:00Z	shanghai-ai-case-plan	r1	DONE	0.00	申报规划锁定(创AI·智能信息系统);11 units(合规4+创新2+开源/文档4+交付1);里程碑 M1-M7;时间线 4 周	-
2026-04-23T17:30:00Z	pr-0	r1	PASS	0.00	tokens 落地;@theme inline 映射齐全;61/61 tests;tsc+build 过;served CSS 6 色全命中;.dark 块完整适配	-
2026-04-23T17:42:00Z	pr-1	r1	PASS	0.00	4 文件去硬编码;grep 0 匹配;tsc+build+61/61 tests;服务 CSS 全量 emit (sim/quiz/subj/success/warn/danger/ochre/tag-a~f/fs-num);3 type 数据覆盖	-
2026-04-23T17:52:00Z	pr-2	r1	PASS	0.00	Wordmark 新建;sidebar 重写(232px+bg-paper-alt+brand-soft激活+3px条+⌘K占位+Avatar深靛);layout pl-[232px];auth逻辑零改;7 路由全 200;SSR 闪烁属 pre-existing 非阻塞	-
2026-04-24T04:46:17Z	pr-1a	r1	PASS	0.00	两 layout async RSC+getSession;Sidebar initialRole/initialName 透传;真登录 SSR grep 教师/学生双向命中(教师工作台=1 学习空间=0 反向亦然);tsc 0+61/61 tests+build 过;providers/auth/API 零改	-
2026-04-24T04:59:00Z	pr-1b	r1	PASS	0.00	assertCourseAccess 提到 lib/auth/course-access.ts 单一 impl+re-export;schedule/announcement 两分支 AND 合并;老师公告注入 teacherId(admin 不注入);allSettled+partitionSettledSubs+红色失败卡片;真登录 4 角色数据证据 teacher1=5/teacher2=0/admin=5/student=5 符合预期;+13 tests(74 total);tsc+build 过	-
2026-04-24T13:10:00Z	pr-2a	r1	PASS	0.00	TopBar 真 curl+cookie 双角色 7 页面包屑实测命中;SSR 固定 role 无闪烁(学生 2/0/0 教师 0/3/0);uuid 跳过;h-14+border-line+bg-paper;mobile z-30/40 互斥;tsc 0+82 tests+build 25 routes;token 色 0 硬编码	-
2026-04-24T13:30:00Z	pr-2b	r1	PASS	0.00	学生 dashboard 重写对齐 mock;8 新组件+formatters+11 tests(93 total);真登录 student1 /dashboard 200+API 26KB 数据;降级 5 字段 graceful(本周完成/已完成率/进度/未读 3 天/AI 通用);回归 6 页 200+旧组件保留;token 色 0 硬编码;tsc+build 过	-
2026-04-24T13:38:00Z	pr-2c	r1	PASS	0.00	学生 /courses 重写对齐 mock;2 新组件+next-lesson util+8 tests(101 total);真登录 /courses 200+API 200 3 门课 3 不同 tag 色条;数据层预期 avg 6%/待办 9/平均分 29/已完成 1/9 全 graceful;回归 6 页 200+PR-1A 固定 role 通过;tsc 0+build 25 routes+token 色 0	-
2026-04-24T13:50:00Z	pr-2d	r1	PASS	0.00	学生 /courses/[id] 重写对齐 mock;6 新组件+transform util+18 tests(119 total);真登录 3 课详情 200+API 200 状态机预测命中(8 section 全 upcoming);6 ContentBlockType unit test 验证 + unknown→custom fallback;回归 7 页 200 + PR-1A/2A/2B/2C 全守护;tsc 0+build 25 routes+token 色 0	-
2026-04-24T14:10:00Z	pr-3a	r1	PASS	0.00	教师 dashboard 重写对齐 mock;9 新模块(8 组件+transforms)+17 tests(136 total);真 curl 双 teacher+dry-run;teacher2 课/班/TI/待批全0 PR-1B 守护仍生效;真数据聚合 classCount=1 student=5 publishedThisWeek=4 attention top4 真 TI;regression 学生 4 页+教师 7 页全 200;降级 C2/A 落地;0 硬编码色 70+ tokens;tsc 0+build 25 routes	-
2026-04-24T14:25:00Z	pr-3b	r1	PASS	0.00	/teacher/courses 重写对齐 Phase2 卡语言;1 新组件+transforms+15 tests(151 total);service additive 扩展 getCoursesByTeacher include creator/teachers(grep caller 1 处 API route 直 return;学生走 getCoursesByClass 真 curl 验证 hasCreator=false 未影响);真数据双 teacher 课 id 交集∅;多教师王教授+molly+多班 2024A/B 命中;tsc 0+151 tests+build 25 routes+0 硬编码色	-
2026-04-24T14:45:00Z	pr-3c	r1	PASS	0.00	路线A UI重皮;原2529行surgical +113/-152;6 hunks止于1504保留全部Dialog/Sheet/handler零损失;3新组件(EditorHero/TocSidebar/BlockPropertyPanel)+transforms+11 tests(162 total);真curl 2课程200;3章8节3任务真数据;Regression 学生4+教师7全200;独立发现pre-existing P1: /api/lms/courses/[id] GET缺 assertCourseAccess(不归本PR引入,建议独立 fix)	-
2026-04-24T14:55:00Z	pr-sec1	r1	PASS	0.00	闭环 qa-p3 发现的 pre-existing P1;角色感知 guard(assertCourseAccessForStudent+assertCourseReadable);diff +48/-1;真 curl 10 场景矩阵对齐(t2→t1 403/t1 own 200/student own-class 200/cross-class 403/admin 直通/404/未登录 401/PATCH 403);/cso OWASP+STRIDE 全绿;11 新单测(173 total);5 个现有 caller 签名零动;学生端/teacher 页面全 200 无 regression	-
2026-04-24T15:05:00Z	pr-sec2	r1	PASS	0.00	系统化 by-id GET 8 端点 auth 修复(task-instances/insights/course teachers/classes/class members/tasks/submissions/import-jobs);6 resource-access guards+35 tests(208 total);16 场景真 curl 矩阵对齐(跨户全 403/own 200/student 自班 200/insights teacher-only/admin 直通/未登录 401);PATCH/DELETE 守护零动 regression 通过(deleteTask/deleteTaskInstance service owner 仍 403);/cso OWASP+STRIDE 无 High/Critical;QA 独立发现 pre-existing P1: deleteSubmission service 无 owner 校验(非本 PR 引入,建议 PR-SEC3)	-
2026-04-24T15:20:00Z	pr-sec3	r1	PASS	0.00	Write 端 owner 守护系统扫描 3 endpoint 修复(content-blocks markdown PUT/submissions DELETE/submissions grade POST);真 curl real submission 跨户 DELETE 403+grade 403 闭环 SEC2 发现的 P1;teacher own course DELETE 200+grade 400 validation(guard 通过不误杀);admin 直通 200;SEC1+SEC2 7 GET guard 全保留 403;service 层签名零改(diff lib/services 空)→ AI 批改路径 7 处调用零影响;/cso OWASP+STRIDE Tampering 闭环无 High;219 tests(+11);连 PASS 6 次 harness exit 超满足	-
2026-04-24T11:47:01Z	pr-4a	r1	PASS	0.00	4步向导壳(Type/Basic/Config/Review);5新组件+重构page;225 tests(+6);tsc+build 25 routes过;0硬编码色+12动态类落CSS;SSR 200命中7/7中文;11回归路由全200;NextAuth pre-existing Config err无关本PR	-
2026-04-24T12:05:00Z	pr-4b	r1	PASS	0.00	Step 2 拆 3 组件+AIQuizDialog+quiz-merge util;.env.example 6 个 AI_*_MODEL 字面对齐spec(qwen-max/qwen3.5-plus);ai.service 映射链3点闭环;230 tests(+5);0硬编码色+15动态类落CSS;SSR 11/11中文命中;11回归路由全200;NextAuth Config err pre-existing(建议独立fix)	-
2026-04-24T12:15:59Z	pr-4c	r1	PASS	0.00	Step 3 Review 2 新组件(WizardStepReview+WizardReviewBlock);Hero类型色+装饰圆+3 type子body+Ready panel;236 tests(+6 review-filter);handleSubmit/validate/nav byte-identical diff 0;/api/tasks POST 401+中文;0硬编码+alpha变体全落CSS;5 imports 清理全仓零残留;11回归200;NextAuth #50在修	-
2026-04-24T12:20:39Z	pr-auth-fix	r1	PASS	0.00	auth.config secret=resolveAuthSecret()+新建 lib/auth/secret.ts(14行 trim防呆+dep injection)+.env.example AUTH_SECRET/NEXTAUTH_SECRET 双写;244 tests(+8 实比 report 多);真根因=Postgres停(lsof:5432空+docker daemon down);前3轮QA误诊NextAuth→自我追认;建议用户起DB	-
2026-04-24T12:24:52Z	pr-auth-fix	r1-e2e	PASS	0.00	真E2E验证(DB起+新dev server PID 59187):teacher1+student1登录302+session-token成功;真cookie SSR 11路由全200+真数据(王教授×4);真创建simulation task成功(creatorId→user.id)+delete清理;role guard 三线(unauth 401/student跨403/teacher 200);DB blocker闭环;顺带给PR-4C补E2E	-
2026-04-24T12:43:23Z	pr-4d1	r1	PASS	0.00	8端点(chap/sec PATCH-DEL+block POST/PATCH/DEL/reorder);schema零改动(Chapter/Section/Block已有order);3 write guards append;5 error codes中文;14真E2E场景全对齐(teacher1 own 4+teacher2跨户5+student跨角色2+validation 3);reorder事务原子性验证(BLOCK_NOT_FOUND时第1 item未写入);OWASP A01/A03/A05+STRIDE无High;280 tests(+36);8端点unauth全401;11回归200;测试数据清理干净	-
2026-04-24T13:04:09Z	pr-4d2	r1	PASS	0.00	6种blockType真E2E CRUD全通(markdown/resource/sim/quiz/subj/custom各创建+PATCH+DB核对JSON);reorder真swap持久化;section cascade delete验证(temp section+2 blocks全清零零孤儿);section rename闭环;288 tests(+8);0硬编码+0 XSS;12路由回归200;PR-SEC1 API守护仍FORBIDDEN;测试数据零污染;Phase 4 六连PASS收尾	-
