2026-05-15T04:51:56Z	C1-B-iw	r1a	BUILD	builder	Unit C1-B r1a (localStorage 基础) build done: use-persisted-job hook + page 集成; 7 vitest 测试; tsc clean; eslint clean
2026-05-15T04:56:05Z	C1-B-iw	r1a	PASS	0.6	localStorage 持久化基础 PASS（acc 8/8 + tsc 0 new + vitest 995/995, 0 regression）	918a5d7
2026-05-15T04:59:12Z	C1-B-iw	r1b	BUILD	builder	Unit C1-B r1b (4 工具差异化渲染) build done: 5 个 ai-assistant 组件 + page 重构; 11 vitest 测试; tsc clean; eslint clean
2026-05-15T05:07:16Z	C1-B-iw	r1b	PASS	0.7	4 工具差异化渲染 PASS（acc 8/8 + HEAD 干净 tsc 0 + vitest 1006/1006; working tree r1c in-progress 不影响 verdict）	bb0667e
2026-05-15T05:08:31Z	C1-B-iw	r1c	BUILD	builder	Unit C1-B r1c (阅读视图 + 编辑切换) build done: 5 atoms 文件 + page + hook 加 viewMode 字段; 7 new vitest (18 total); tsc clean; eslint clean. C1-B unit complete.
2026-05-15T05:12:52Z	C1-B-iw	r1c	PASS	0.7	阅读视图 + 编辑切换 PASS（acc 10/10 + tsc 0 new + vitest 1013/1013 0 regression）；Unit C1-B 整体收官	81a2bca
2026-05-15T05:18:11Z	A1-iw	r1a	BUILD	builder	Unit A1 r1a (service+API+validator) done: PATCH /snapshot route + discriminated union schema + deep-merge service + 17 vitest; tsc clean; eslint clean
2026-05-15T05:22:13Z	A1-iw	r1a	PASS	0.6	service + API + validator PASS（acc 6/6 + tsc 0 new + vitest 1030/1030 0 regression）	917ec88
2026-05-15T05:26:04Z	A1-iw	r1b	BUILD	builder	Unit A1 r1b (overview Sheet + 3 form + AlertDialog 已批改警告) build done: 19 vitest; tsc clean; eslint clean. A1 unit complete.
2026-05-15T05:29:46Z	A1-iw	r1b	PASS	0.7	UI Sheet + graded 警告 PASS（acc 8/8 + tsc 0 new + vitest 1049/1049 0 regression）；A1 整 unit 收官；worktree 3 unit 全 done	9c4b957
2026-05-15T08:55:07Z	e2e-iw	r1	PASS	0.8	Playwright 真浏览器 E2E 3/3 PASS（A2 标题 + A1 Sheet + C1-B 切页保状态）；molly@:3001；0 DB 污染	9c4b957
2026-05-15T23:21:38Z	B1-iw	r1	BUILD	builder	Unit B1 build done: /teacher/ai-workbench Tabs 容器 + URL ?tab= 同步 + 旧路径 redirect + sidebar 9→7 + 9 vitest; tsc clean; eslint clean; 1162→1171 (+9) 0 regression
